06/2003,9918
07/2003,11919
08/2003,11737
09/2003,2519
10/2003,1650
11/2003,2
12/2003,7
01/2004,15104
02/2004,14252
03/2004,13540
04/2004,11004
05/2004,12544
06/2004,11525
07/2004,7519
08/2004,11506
09/2004,9363
10/2004,8343
11/2004,16672
12/2004,13773
01/2005,7791
02/2005,14316
03/2005,17782
04/2005,8622
05/2005,12109
06/2005,12842
07/2005,9406
08/2005,16037
09/2005,11167
10/2005,7672
11/2005,15953
12/2005,14575
01/2006,10362
02/2006,15365
03/2006,16482
04/2006,13821
05/2006,19826
06/2006,14557
07/2006,11453
08/2006,19505
09/2006,12610
10/2006,10891
11/2006,21011
12/2006,15268
01/2007,14344
02/2007,21886
03/2007,20514
04/2007,13652
05/2007,26149
06/2007,17055
07/2007,13973
08/2007,29411
09/2007,21408
10/2007,22369
11/2007,27804
12/2007,20428
01/2008,11958
02/2008,17469
03/2008,20297
04/2008,22762
05/2008,25139
06/2008,17928
07/2008,8355
08/2008,10531
09/2008,6810
10/2008,3693
11/2008,4681
12/2008,5006
01/2009,2736
02/2009,3636
03/2009,3616
04/2009,2679
05/2009,6238
06/2009,5234
07/2009,6555
08/2009,7954
09/2009,6317
10/2009,5185
11/2009,8257
12/2009,5839
01/2010,3962
02/2010,5511
03/2010,7564
04/2010,6789
05/2010,7060
06/2010,5038
07/2010,2472
08/2010,4366
09/2010,4644
10/2010,3781
11/2010,6756
12/2010,6885
01/2011,3822
02/2011,6955
03/2011,7589
04/2011,4309
05/2011,7589
06/2011,4550
07/2011,3355
08/2011,3537
09/2011,2978
10/2011,3268
11/2011,4014
12/2011,4142
01/2012,3325
02/2012,5723
03/2012,7342
04/2012,3611
05/2012,5571
06/2012,3352
07/2012,2510
08/2012,6559
09/2012,4748
10/2012,2867
11/2012,11939
12/2012,6158
01/2013,3302
02/2013,5530
03/2013,6298
04/2013,3215
05/2013,2372
01/2014,3334
02/2014,5828
03/2014,6099
07/2014,2816
12/2014,307
01/2015,2956
02/2015,5290
03/2015,5699
04/2015,3109
05/2015,4795
06/2015,4431
07/2015,2907
08/2015,4292
09/2015,3052
10/2015,2818
11/2015,4692
12/2015,3674
01/2016,1603
02/2016,3364
03/2016,4137
04/2016,2703
05/2016,4271
06/2016,3650
07/2016,2182
08/2016,5499
09/2016,3352
10/2016,2117
11/2016,5151
12/2016,1576
01/2017,2638
02/2017,4923
03/2017,6200
04/2017,2782
05/2017,5799
06/2017,3687
07/2017,1754
08/2017,3874
09/2017,3085
10/2017,2261
11/2017,4125
12/2017,3602
01/2018,2886
02/2018,4612
03/2018,5352
04/2018,2870
05/2018,5519
06/2018,4904
07/2018,2980
08/2018,5715
09/2018,3653
10/2018,2479
11/2018,4084
12/2018,2985
01/2019,2447
02/2019,4785
03/2019,5222
04/2019,3310
05/2019,4634
06/2019,3886
07/2019,3069
08/2019,4783
09/2019,3972
10/2019,3349
11/2019,5062
12/2019,4279
01/2020,2689
02/2020,4445
03/2020,3650
04/2020,2586
05/2020,5122
06/2020,5196
07/2020,3338
08/2020,5277
09/2020,4293
10/2020,1847
11/2020,6206
12/2020,6719
01/2021,4236
02/2021,7354
03/2021,8442
04/2021,4771
05/2021,7554
